index;budget;genres;id;keywords;popularity;production_countries;release_date;revenue;title;vote_average;vote_count;cast;director
0;237000000;Action Adventure Fantasy Science Fiction;19995;culture clash future space war space colony society;150.437577;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]";10.12.2009;2787965087;Avatar;7,2;11800;Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez;James Cameron
1;300000000;Adventure Fantasy Action;285;ocean drug abuse exotic island east india trading company love of one's life;139.082615;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";19.05.2007;961000000;Pirates of the Caribbean: At World's End;6,9;4500;Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsg\u00e5rd, Chow Yun-fat;Gore Verbinski
2;245000000;Action Adventure Crime;206647;spy based on novel secret agent sequel mi6;107.37678799999999;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";26.10.2015;880674609;Spectre;6,3;4466;Daniel Craig, Christoph Waltz, L\u00e9a Seydoux, Ralph Fiennes, Monica Bellucci;Sam Mendes
3;250000000;Action Crime Drama Thriller;49026;dc comics crime fighter terrorist secret identity burglar;112.31295;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";16.07.2012;1084939099;The Dark Knight Rises;7,6;9106;Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy;Christopher Nolan
4;260000000;Action Adventure Science Fiction;49529;based on novel mars medallion space travel princess;43.926995;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.03.2012;284139100;John Carter;6,1;2124;Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden;Andrew Stanton
5;258000000;Fantasy Action Adventure;559;dual identity amnesia sandstorm love of one's life forgiveness;115.69981399999999;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";01.05.2007;890871626;Spider-Man 3;5,9;3576;Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden, Church Topher;Sam Raimi
6;260000000;Animation Family;38757;hostage magic horse fairy tale musical;48.681969;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";24.11.2010;591794936;Tangled;7,4;3330;Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey;Byron Howard
7;280000000;Action Adventure Science Fiction;99861;marvel comic sequel superhero based on comic book vision;134.27922900000002;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";22.04.2015;1405403694;Avengers: Age of Ultron;7,3;6767;Robert Downey, Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson;Joss Whedon
8;250000000;Adventure Fantasy Family;767;witch magic broom school of witchcraft wizardry;98.885637;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.07.2009;933959197;Harry Potter and the Half-Blood Prince;7,4;5293;Daniel Radcliffe, Grint Emma, Watson Tom, Felton Michael, Gambon ;David Yates
9;250000000;Action Adventure Fantasy;209112;dc comics vigilante superhero based on comic book revenge;155.790452;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";23.03.2016;873260194;Batman v Superman: Dawn of Justice;5,7;7004;Ben Affleck, Cavill Gal, Gadot Amy, Adams Jesse, Eisenberg ;Zack Snyder
