Avatar;Action Adventure Fantasy Science Fiction;7,2;11800;2550965087
Jurassic World;Action Adventure Science Fiction Thriller;6,5;8662;1363528810
Furious 7;Action;5,9;4176;1316249360
The Avengers;Science Fiction Action Adventure;7,4;11776;1299557910
Avengers: Age of Ultron;Action Adventure Science Fiction;7,3;6767;1125403694
The Lord of the Rings: The Return of the King;Adventure Fantasy Action;6,2;8064;1024888979
Iron Man 3;Action Adventure Science Fiction;6,7;8806;1015439994
Transformers: Dark of the Moon;Action Science Fiction Adventure;6,7;3299;928746996
Skyfall;Action Adventure Thriller;0;7604;908561013
Captain America: Civil War;Adventure Action Science Fiction;7,1;7241;903304495
Transformers: Age of Extinction;Science Fiction Action Adventure;6;3095;881405097
Pirates of the Caribbean: Dead Man's Chest;Adventure Fantasy Action;7;5246;865659812
The Lord of the Rings: The Two Towers;Adventure Fantasy Action;6,7;7487;847287400
The Dark Knight Rises;Action Crime Drama Thriller;7,6;9106;834939099
The Dark Knight;Drama Action Crime Thriller;6,4;12002;819558444
Star Wars: Episode I - The Phantom Menace;Adventure Action Science Fiction;7,5;4432;809317558
The Lord of the Rings: The Fellowship of the Ring;Adventure Fantasy Action;4,1;8705;778368364
The Hobbit: An Unexpected Journey;Adventure Fantasy Action;6,5;8297;771103568
Star Wars;Adventure Action Science Fiction;4,3;6624;764398007
Independence Day;Action Adventure Science Fiction;5,7;3260;741969268
