Titanic;Drama Romance Thriller;7,5;7562;1645034188
The Twilight Saga: Breaking Dawn - Part 2;Adventure Fantasy Drama Romance;6,9;2553;709000000
The Twilight Saga: New Moon;Adventure Fantasy Drama Romance;6,1;2436;659827462
The Twilight Saga: Eclipse;Adventure Fantasy Drama Romance;5,7;2301;630491347
Forrest Gump;Comedy Drama Romance;6;7927;622945399
Maleficent;Fantasy Adventure Action Family Romance;5,8;4496;578539785
Mamma Mia!;Comedy Romance;5,9;1386;557841637
Fifty Shades of Grey;Drama Romance Thriller;6,9;3254;531006128
Ghost;Fantasy Drama Thriller Mystery Romance;5,9;1339;483000000
Pretty Woman;Romance Comedy;7,2;1746;449000000
Cinderella;Romance Fantasy Family Drama;7,3;2374;448514353
Meet the Fockers;Comedy Romance;5,8;1373;436642939
Gone with the Wind;Drama Romance War;6,6;970;396176459
The Bodyguard;Thriller Action Drama Music Romance;7;661;386006740
Les MisĂ©rables;Drama Music Romance;5,3;1884;380809770
My Big Fat Greek Wedding;Comedy Drama Romance;5,4;671;363744044
Slumdog Millionaire;Drama Romance;6,3;2827;362910544
Twilight;Adventure Fantasy Drama Romance;5,6;3561;355616625
There's Something About Mary;Romance Comedy;5,5;1590;346884651
Top Gun;Action Romance War;6,2;1698;341830601
