Titanic;Drama Romance Thriller;7,5;7562;1645034188
Jurassic World;Action Adventure Science Fiction Thriller;6,5;8662;1363528810
Skyfall;Action Adventure Thriller;0;7604;908561013
The Dark Knight Rises;Action Crime Drama Thriller;7,6;9106;834939099
The Dark Knight;Drama Action Crime Thriller;6,4;12002;819558444
Inception;Action Thriller Science Fiction Mystery Adventure;8,1;13752;665532764
The Da Vinci Code;Thriller Mystery;6,6;2704;642820459
The Sixth Sense;Mystery Thriller Drama;6,3;3147;632806292
The Hunger Games: Mockingjay - Part 1;Science Fiction Adventure Thriller;7,5;5584;627100229
Gravity;Science Fiction Thriller Drama;5,8;5751;611392705
The Matrix Reloaded;Adventure Action Thriller Science Fiction;7,3;3443;588599701
Mission: Impossible - Ghost Protocol;Action Thriller Adventure;6,7;3972;549713380
Dawn of the Planet of the Apes;Science Fiction Action Drama Thriller;7;4410;540644566
Mission: Impossible - Rogue Nation;Action Adventure Thriller;5,7;3224;532330139
Fifty Shades of Grey;Drama Romance Thriller;6,9;3254;531006128
Fast Five;Action Thriller Crime;6,8;2438;501137675
Ghost;Fantasy Drama Thriller Mystery Romance;5,9;1339;483000000
Jaws;Horror Thriller Adventure;6,3;2542;463654000
War of the Worlds;Adventure Thriller Science Fiction;6,8;2322;459739379
Casino Royale;Adventure Action Thriller;7,9;3855;449045960
