Minions;Family Animation Adventure Comedy;6,1;4571;1082730962
Despicable Me 2;Animation Comedy Family;7,6;4637;894761885
Toy Story 3;Animation Family Comedy;5,1;4597;866969703
Ice Age: Dawn of the Dinosaurs;Animation Comedy Family Adventure;6,3;2271;796686817
Ice Age: Continental Drift;Animation Comedy Adventure Family;5,6;2672;782244782
Shrek 2;Adventure Animation Comedy Family Fantasy;4,5;2988;769838758
Deadpool;Action Adventure Comedy;5,4;10995;725112979
Inside Out;Drama Comedy Animation Family;5,6;6560;682611174
Forrest Gump;Comedy Drama Romance;6;7927;622945399
Shrek Forever After;Comedy Adventure Fantasy Animation Family;7,6;1959;587600867
Ice Age: The Meltdown;Animation Family Comedy Adventure;6,6;2951;580940780
Up;Animation Comedy Family Adventure;8,2;6870;560099082
Mamma Mia!;Comedy Romance;5,9;1386;557841637
Kung Fu Panda;Adventure Animation Family Comedy;7,3;3145;501744560
Men in Black;Action Adventure Comedy Science Fiction;5,8;4412;499390539
Ted;Comedy Fantasy;5,6;4697;499368315
Big Hero 6;Adventure Family Animation Action Comedy;6,2;6135;487105443
Aladdin;Animation Family Comedy Adventure Fantasy;5;3416;476050219
Ratatouille;Animation Comedy Family Fantasy;6,7;4369;473722818
Night at the Museum;Action Adventure Comedy Family Fantasy;5,7;2862;464480841
