Avatar;Action Adventure Fantasy Science Fiction;7,2;11800;2550965087
Titanic;Drama Romance Thriller;7,5;7562;1645034188
Jurassic World;Action Adventure Science Fiction Thriller;6,5;8662;1363528810
Furious 7;Action;5,9;4176;1316249360
The Avengers;Science Fiction Action Adventure;7,4;11776;1299557910
Avengers: Age of Ultron;Action Adventure Science Fiction;7,3;6767;1125403694
Frozen;Animation Adventure Family;6,4;5295;1124219009
Minions;Family Animation Adventure Comedy;6,1;4571;1082730962
The Lord of the Rings: The Return of the King;Adventure Fantasy Action;6,2;8064;1024888979
Iron Man 3;Action Adventure Science Fiction;6,7;8806;1015439994
Transformers: Dark of the Moon;Action Science Fiction Adventure;6,7;3299;928746996
Skyfall;Action Adventure Thriller;0;7604;908561013
Captain America: Civil War;Adventure Action Science Fiction;7,1;7241;903304495
Despicable Me 2;Animation Comedy Family;7,6;4637;894761885
Transformers: Age of Extinction;Science Fiction Action Adventure;6;3095;881405097
Toy Story 3;Animation Family Comedy;5,1;4597;866969703
Pirates of the Caribbean: Dead Man's Chest;Adventure Fantasy Action;7;5246;865659812
Jurassic Park;Adventure Science Fiction;0;4856;857100000
Harry Potter and the Philosopher's Stone;Adventure Fantasy Family;6,7;7006;851475550
The Lord of the Rings: The Two Towers;Adventure Fantasy Action;6,7;7487;847287400
